index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2017-Q3,BID,9020,0.387,0.255,,,-3464,10881,0.35,0.207,,1862,1483,1505,-0.234,0.687,570,730,561,-5556,7418,
2017-Q2,BID,7187,0.575,0.056,,,-3618,9017,0.32,0.143,,1416,978,892,-0.104,-0.511,262,836,731,-3983,5399,
2017-Q1,BID,6806,0.207,-0.032,,,-3262,7887,0.176,-0.117,,2277,1849,1824,0.099,0.185,297,574,210,-2348,4625,
2016-Q4,BID,7031,0.256,0.081,,,-4654,8932,0.155,0.108,,1977,1564,1539,-0.153,-0.217,660,782,460,-2302,4278,
2016-Q3,BID,6506,0.245,0.426,,,-3154,8062,0.334,0.18,,2430,1989,1966,-0.022,0.975,503,565,490,-2478,4908,
2016-Q2,BID,4562,0.169,-0.191,,,-3076,6830,0.207,0.018,,1250,1012,995,0.614,-0.4,1147,656,465,-2503,3753,
2016-Q1,BID,5640,0.228,0.008,,,-2638,6706,0.27,-0.133,,2077,1683,1659,-0.105,-0.087,238,502,327,-1991,4068,
2015-Q4,BID,5596,0.196,0.071,,,-3601,7731,0.057,0.279,,2413,1863,1817,0.254,-0.096,683,727,725,-1717,4130,
2015-Q3,BID,5225,0.468,0.339,,,-3125,6042,0.23,0.067,,2418,2017,2010,0.277,2.26,-175,561,431,-499,2917,
2015-Q2,BID,3903,-0.056,-0.15,,,-2335,5661,0.057,0.072,,844,631,616,0.56,-0.668,174,592,991,-2482,3326,
2015-Q1,BID,4591,0.313,-0.019,,,-2027,5279,0.147,-0.278,,2273,1865,1855,0.207,0.28,9,456,222,-979,3252,
2014-Q4,BID,4678,0.114,0.314,,,-2286,7316,0.124,0.489,,1860,1457,1449,0.534,-0.079,877,869,892,-3170,5030,
2014-Q3,BID,3559,0.091,-0.139,,,-1884,4914,0.145,-0.082,,1983,1586,1574,0.39,2.983,384,645,326,-1047,3030,
2014-Q2,BID,4133,0.186,0.182,,,-2668,5355,0.153,0.163,,514,404,395,-0.522,-0.743,71,770,381,-2172,2687,
2014-Q1,BID,3498,0.12,-0.167,,,-1959,4603,0.173,-0.293,,1949,1545,1536,0.346,0.626,335,605,165,-695,2644,
2013-Q4,BID,4199,0.094,0.288,,,-2743,6507,0.37,0.516,,1250,949,945,-0.276,-0.166,1171,665,473,-2514,3764,
2013-Q3,BID,3261,0.168,-0.064,,,-1406,4291,0.261,-0.076,,1481,1139,1132,2.355,0.368,272,568,191,-1404,2885,
2013-Q2,BID,3484,-0.092,0.115,,,-1768,4643,-0.085,0.183,,1064,832,828,2.117,-0.275,225,708,226,-1811,2875,
2013-Q1,BID,3124,0.089,-0.186,,,-1602,3924,0.119,-0.174,,1515,1146,1142,-0.181,-0.125,216,515,70,-807,2322,
2012-Q4,BID,3838,,0.375,,,-1930,4751,,0.396,,1748,1304,1305,,2.866,67,552,293,-1073,2821,
2012-Q3,BID,2791,-0.094,-0.272,,,-1289,3403,-0.048,-0.329,,439,341,338,-0.264,0.271,78,503,31,-1675,2115,
2012-Q2,BID,3835,,0.338,,,-1879,5075,,0.447,,323,271,266,,-0.81,387,582,271,-2873,3196,
2012-Q1,BID,2867,,,,,-1615,3507,,,,1865,1402,1395,,,115,504,21,-27,1893,
2011-Q3,BID,3082,,,,,-1886,3576,,,,573,447,459,,,1,401,92,-1117,1690,
