index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2019-Q1,MWG,25017,0.099,0.189,-20584,4434,-3079,1355,0.257,0.475,-133,1341,1041,1040,0.289,0.503,,,,,,1666
2018-Q4,MWG,21038,0.124,0.006,-17285,3753,-2835,918,0.319,0.049,-111,919,693,692,0.21,0.069,,,,,,1255
2018-Q3,MWG,20908,0.276,-0.041,-17205,3703,-2827,875,0.234,-0.124,-107,856,648,647,0.146,-0.116,,,,,,1198
2018-Q2,MWG,21807,0.393,-0.042,-17945,3862,-2862,1000,0.536,-0.072,-105,968,732,732,0.432,-0.093,,,,,,1288
2018-Q1,MWG,22764,0.461,0.216,-18789,3975,-2897,1077,0.493,0.548,-113,1043,807,807,0.447,0.412,,,,,,1353
2017-Q4,MWG,18719,0.353,0.143,-15674,3044,-2348,696,0.629,-0.019,-61,734,572,572,0.608,0.013,,,,,,905
2017-Q3,MWG,16381,0.472,0.046,-13557,2824,-2114,709,0.365,0.09,-46,719,565,565,0.458,0.105,,,,,,889
2017-Q2,MWG,15654,0.562,0.004,-13032,2622,-1971,651,0.241,-0.098,-56,650,511,511,0.227,-0.084,,,,,,809
2017-Q1,MWG,15586,0.619,0.126,-12934,2652,-1930,722,0.387,0.689,-65,706,558,558,0.335,0.569,,,,,,865
2016-Q4,MWG,13837,0.786,0.244,-11641,2196,-1769,427,0.044,-0.178,-39,457,356,356,0.072,-0.082,,,,,,538
2016-Q3,MWG,11126,0.674,0.11,-9292,1834,-1315,520,0.515,-0.009,-25,499,388,387,0.348,-0.07,,,,,,626
2016-Q2,MWG,10023,0.869,0.041,-8428,1595,-1070,524,0.897,0.008,-26,525,417,417,0.884,-0.003,,,,,,607
2016-Q1,MWG,9627,0.751,0.243,-8038,1589,-1069,520,0.773,0.272,-30,525,418,418,0.804,0.259,,,,,,590
2015-Q4,MWG,7746,0.602,0.165,-6462,1285,-875,409,0.897,0.192,-12,428,332,332,0.799,0.155,,,,,,470
2015-Q3,MWG,6647,0.685,0.239,-5623,1024,-681,343,0.664,0.241,-6,371,288,287,0.64,0.299,,,,,,395
2015-Q2,MWG,5363,0.538,-0.024,-4550,813,-537,276,0.58,-0.058,-9,287,223,221,0.556,-0.045,,,,,,322
2015-Q1,MWG,5496,0.576,0.136,-4695,801,-508,293,0.4,0.36,-12,300,233,232,0.393,0.255,,,,,,332
2014-Q4,MWG,4837,,0.226,-4146,691,-475,216,,0.046,-5,241,186,184,,0.053,,,,,,250
2014-Q3,MWG,3945,,0.131,-3311,634,-428,206,,0.179,-5,227,176,175,,0.232,,,,,,237
2014-Q2,MWG,3487,,0.0,-2960,527,-352,175,,-0.165,-6,185,143,142,,-0.145,,,,,,203
2014-Q1,MWG,3488,,,-2943,545,-335,210,,,-5,215,169,166,,,,,,,,232
